SchedulerManager 性能测试报告
生成时间: 2025-06-13 22:57:32

测试环境信息:
操作系统: Windows
测试时间: 2025-06-13 22:57:32

性能测试结果:
操作类型	数据规模	平均时间(μs)	最小时间(μs)	最大时间(μs)	复杂度系数
========================================================================
Insert	100	235.61	104.70	8035.80	35.46
Query	100	259.17	158.50	962.50	39.01
Delete	100	361.06	276.70	763.80	54.34
Insert	300	188.29	106.70	12645.40	22.88
Query	300	146.29	67.20	622.30	17.78
Delete	300	276.10	187.40	612.80	33.55
Insert	500	342.55	105.90	84725.00	38.21
Query	500	124.51	67.40	513.90	13.89
Delete	500	320.48	231.40	1003.00	35.74
Insert	800	552.99	105.10	130977.50	57.34
Query	800	98.62	66.50	383.10	10.23
Delete	800	238.57	185.40	536.80	24.74
Insert	1000	626.82	103.40	104282.60	62.90
Query	1000	98.62	64.70	501.40	9.90
Delete	1000	238.37	184.00	636.20	23.92
Insert	1500	268.22	107.00	93010.70	25.42
Query	1500	96.80	66.10	428.20	9.17
Delete	1500	234.27	183.10	623.20	22.20
